Lab_Number,Date_BP,SD,Site_Number,Site_ID,County
BETA-101263,1350,70,42GA4055,2647,"Garfield, UT"
BETA-101266,300,70,42GA3954,2631,"Garfield, UT"
BETA-128675,1570,70,42GA4437,2812,"Garfield, UT"
BETA-117938,1200,80,42GA3750,2732,"Garfield, UT"
Tx-134,795,80,42GA34,2671,"Garfield, UT"
Tx-135,785,80,42GA34,2671,"Garfield, UT"
Beta-34938,1570,80,42GA288,2467,"Garfield, UT"
BETA-161577,1200,80,42GA4032,2461,"Garfield, UT"
BETA-34936,1640,80,42GA103,2470,"Garfield, UT"
BETA-134616,1590,80,42GA4543,2530,"Garfield, UT"
BETA-134617,1520,80,42GA4561,2536,"Garfield, UT"
BETA-134618,1500,80,42GA4561,2536,"Garfield, UT"
BETA-134612,1760,80,42GA4536,2540,"Garfield, UT"
BETA-134610,950,80,42GA4518,2563,"Garfield, UT"
BETA-101267,2180,80,42GA3987,2670,"Garfield, UT"
BETA-128680,1580,80,42GA4418,2828,"Garfield, UT"
Tx-132,900,85,42GA34,2671,"Garfield, UT"
Tx-133,1115,85,42GA34,2671,"Garfield, UT"
BETA-68657,2090,90,42GA3303,2451,"Garfield, UT"
Beta-35559,5880,90,42GA3132,2501,"Garfield, UT"
Beta-31187,2160,90,42GA3199,2504,"Garfield, UT"
Beta-28322,2670,90,42GA3205,2506,"Garfield, UT"
Beta-34941,1770,90,42GA288,2467,"Garfield, UT"
BETA-161578,1220,90,42GA4054,2630,"Garfield, UT"
Beta-28770,1650,100,42GA3035,2496,"Garfield, UT"
Beta-28769,1570,100,42GA3082,2497,"Garfield, UT"
Beta-35319,2760,100,42GA3138,2503,"Garfield, UT"
Beta-32026,2950,100,42GA3206,2507,"Garfield, UT"
BETA-34934,1520,100,42GA102,2471,"Garfield, UT"
BETA-134611,1610,120,42GA4521,2559,"Garfield, UT"
BETA-161574,2030,120,42GA456,2558,"Garfield, UT"
Beta-35561,4980,130,42GA3133,2502,"Garfield, UT"
Beta-31191,7560,130,42GA3411,2508,"Garfield, UT"
BETA-23058,1500,140,42GA3743,2564,"Garfield, UT"
BETA-16268,1850,140,42GA3048,2771,"Garfield, UT"
Beta-32025,3230,140,42GA3086,2499,"Garfield, UT"
BETA-23057,1910,160,42GA3743,2564,"Garfield, UT"
A-1824,1965,31,42SA22180,2460,"San Juan, UT"
A-1843,1862,34,42SA22180,2460,"San Juan, UT"
AA-84948,1839,36,42SA21153A,2429,"San Juan, UT"
A-1801,1080,40,42SA22180,2460,"San Juan, UT"
A-1827,1813,40,42SA22180,2460,"San Juan, UT"
A-1829,1843,40,42SA22180,2460,"San Juan, UT"
A-1830,1833,40,42SA22180,2460,"San Juan, UT"
A-1833,1793,40,42SA22180,2460,"San Juan, UT"
A-1840,1803,40,42SA22180,2460,"San Juan, UT"
Beta-112582,850,40,42SA22674,2233,"San Juan, UT"
Beta-122103,1040,40,42SA22674,2233,"San Juan, UT"
Beta-122105,920,40,42SA22674,2233,"San Juan, UT"
Beta-122581,850,40,42SA22674,2233,"San Juan, UT"
BETA-256926,1010,40,42SA21153A,2429,"San Juan, UT"
BETA-256927,1900,40,42SA21153A,2429,"San Juan, UT"
BETA-175652,1800,40,NA,2072,"San Juan, UT"
A-1811,1934,41,42SA22180,2460,"San Juan, UT"
A-1817,1816,41,42SA22180,2460,"San Juan, UT"
A-1820,1934,41,42SA22180,2460,"San Juan, UT"
A-1821,1904,41,42SA22180,2460,"San Juan, UT"
A-1832,1924,41,42SA22180,2460,"San Juan, UT"
A-1842,1975,41,42SA22180,2460,"San Juan, UT"
A-1846,1882,41,42SA22180,2460,"San Juan, UT"
A-1803,1881,42,42SA22180,2460,"San Juan, UT"
A-1804,2004,42,42SA22180,2460,"San Juan, UT"
A-1810,2031,42,42SA22180,2460,"San Juan, UT"
A-1818,1782,42,42SA22180,2460,"San Juan, UT"
A-1861,1806,42,42SA22180,2460,"San Juan, UT"
A-1867,1795,42,42SA22180,2460,"San Juan, UT"
A-1872,1958,42,42SA22180,2460,"San Juan, UT"
A-1875,1914,42,42SA22180,2460,"San Juan, UT"
A-1807,1977,43,42SA22180,2460,"San Juan, UT"
A-1822,1903,43,42SA22180,2460,"San Juan, UT"
A-1826,1682,43,42SA22180,2460,"San Juan, UT"
A-1858,1862,43,42SA22180,2460,"San Juan, UT"
A-1864,1867,43,42SA22180,2460,"San Juan, UT"
A-1878,1867,43,42SA22180,2460,"San Juan, UT"
A-1777,1882,45,42SA22180,2460,"San Juan, UT"
A-1789,1921,45,42SA22180,2460,"San Juan, UT"
A-1792,1940,45,42SA22180,2460,"San Juan, UT"
A-1816,1944,45,42SA22180,2460,"San Juan, UT"
A-1825,1880,45,42SA22180,2460,"San Juan, UT"
A-1831,1837,45,42SA22180,2460,"San Juan, UT"
A-1835,1868,45,42SA22180,2460,"San Juan, UT"
A-1841,1869,45,42SA22180,2460,"San Juan, UT"
A-1844,1876,45,42SA22180,2460,"San Juan, UT"
A-1845,1842,45,42SA22180,2460,"San Juan, UT"
A-1847,1908,45,42SA22180,2460,"San Juan, UT"
WSU-2750,1860,45,42SA21153,2430,"San Juan, UT"
A-1783,2043,46,42SA22180,2460,"San Juan, UT"
A-1795,2040,46,42SA22180,2460,"San Juan, UT"
A-1798,1980,46,42SA22180,2460,"San Juan, UT"
A-1809,1839,46,42SA22180,2460,"San Juan, UT"
A-1834,1932,46,42SA22180,2460,"San Juan, UT"
A-1836,1893,46,42SA22180,2460,"San Juan, UT"
A-1849,1953,46,42SA22180,2460,"San Juan, UT"
A-1851,1929,46,42SA22180,2460,"San Juan, UT"
A-1855,1929,46,42SA22180,2460,"San Juan, UT"
A-1859,1829,46,42SA22180,2460,"San Juan, UT"
A-1862,1921,46,42SA22180,2460,"San Juan, UT"
A-1868,1838,46,42SA22180,2460,"San Juan, UT"
A-1871,1870,46,42SA22180,2460,"San Juan, UT"
A-1873,1867,46,42SA22180,2460,"San Juan, UT"
A-1876,1850,46,42SA22180,2460,"San Juan, UT"
A-1879,1877,46,42SA22180,2460,"San Juan, UT"
A-1781,1919,47,42SA22180,2460,"San Juan, UT"
A-1796,1347,47,42SA22180,2460,"San Juan, UT"
A-1800,1797,47,42SA22180,2460,"San Juan, UT"
A-1838,1845,47,42SA22180,2460,"San Juan, UT"
A-1839,1650,47,42SA22180,2460,"San Juan, UT"
A-1848,1896,47,42SA22180,2460,"San Juan, UT"
A-1860,2086,47,42SA22180,2460,"San Juan, UT"
A-1866,1934,47,42SA22180,2460,"San Juan, UT"
A-1880,1884,47,42SA22180,2460,"San Juan, UT"
A-1786,1915,48,42SA22180,2460,"San Juan, UT"
A-1828,1896,48,42SA22180,2460,"San Juan, UT"
A-1837,1864,48,42SA22180,2460,"San Juan, UT"
A-1852,2004,48,42SA22180,2460,"San Juan, UT"
A-1813,1971,49,42SA22180,2460,"San Juan, UT"
A-1823,1793,50,42SA22180,2460,"San Juan, UT"
A-1863,1846,50,42SA22180,2460,"San Juan, UT"
A-1865,1876,50,42SA22180,2460,"San Juan, UT"
BETA-69277,3950,50,42SA20804,2133,"San Juan, UT"
BETA-5797,1460,50,42SA18646,2458,"San Juan, UT"
BETA-77110,950,50,42SA22559,2464,"San Juan, UT"
BETA-57131,1870,50,42SA17119,2733,"San Juan, UT"
BETA-19918,760,50,42SA1563,2811,"San Juan, UT"
WSU-2759,2065,50,42SA21153,2430,"San Juan, UT"
Beta-77874,2320,50,42SA21153,2430,"San Juan, UT"
BETA-102492,1840,50,NA,2072,"San Juan, UT"
A-1797,1792,51,42SA22180,2460,"San Juan, UT"
A-1808,1934,51,42SA22180,2460,"San Juan, UT"
A-1814,1965,51,42SA22180,2460,"San Juan, UT"
A-1850,1897,51,42SA22180,2460,"San Juan, UT"
A-1874,1825,52,42SA22180,2460,"San Juan, UT"
A-1877,1854,53,42SA22180,2460,"San Juan, UT"
WSU-2751,1925,55,42SA21153,2430,"San Juan, UT"
A-1778,1956,56,42SA22180,2460,"San Juan, UT"
A-1776,1932,57,42SA22180,2460,"San Juan, UT"
A-1779,1938,57,42SA22180,2460,"San Juan, UT"
A-1782,1878,57,42SA22180,2460,"San Juan, UT"
A-1784,1958,57,42SA22180,2460,"San Juan, UT"
A-1785,1918,57,42SA22180,2460,"San Juan, UT"
A-1787,1939,57,42SA22180,2460,"San Juan, UT"
A-1790,1887,57,42SA22180,2460,"San Juan, UT"
A-1793,1919,57,42SA22180,2460,"San Juan, UT"
A-1806,1903,57,42SA22180,2460,"San Juan, UT"
A-1812,1924,57,42SA22180,2460,"San Juan, UT"
A-1780,1907,58,42SA22180,2460,"San Juan, UT"
A-1788,1993,58,42SA22180,2460,"San Juan, UT"
A-1794,1880,58,42SA22180,2460,"San Juan, UT"
A-1799,1796,58,42SA22180,2460,"San Juan, UT"
A-1805,1831,58,42SA22180,2460,"San Juan, UT"
A-1791,1978,59,42SA22180,2460,"San Juan, UT"
A-1815,1830,59,42SA22180,2460,"San Juan, UT"
BETA-102496,1880,60,NA,2069,"San Juan, UT"
BETA-97659,7350,60,NA,2375,"San Juan, UT"
BETA-57406,6100,60,42SA18646,2458,"San Juan, UT"
BETA-19916,1180,60,42SA1563,2811,"San Juan, UT"
BETA-19917,800,60,42SA1563,2811,"San Juan, UT"
BETA-70052,780,60,42SA21291,2910,"San Juan, UT"
BETA-69975,2820,60,42SA21269,2950,"San Juan, UT"
BETA-69323,3180,60,42SA21267,2953,"San Juan, UT"
Beta-21208,2080,60,42SA17141,2301,"San Juan, UT"
Beta-30481,1170,60,42SA20251,2305,"San Juan, UT"
Beta-30484,2120,60,42SA20292,2308,"San Juan, UT"
Beta-20467,2740,60,42SA5800,2316,"San Juan, UT"
Beta-12657,1380,60,42SA16823,2420,"San Juan, UT"
Beta-122104,940,60,42SA22674,2233,"San Juan, UT"
Beta-74066,1810,60,42SA21153,2430,"San Juan, UT"
WSU-3512,1980,60,42SA21153,2430,"San Juan, UT"
BETA-102493,1730,60,NA,2072,"San Juan, UT"
BETA-95277,7590,60,NA,2375,"San Juan, UT"
BETA-95751,7860,60,NA,2375,"San Juan, UT"
BETA-175650,1660,60,NA,2072,"San Juan, UT"
BETA-175651,1640,60,NA,2072,"San Juan, UT"
AA-10379,6785,60,42SA-?,2078,"San Juan, UT"
Beta-95281,7590,60,42SA-?,2078,"San Juan, UT"
Y-1349,250,60,42SA735,2412,"San Juan, UT"
Beta-77870,7340,60,42SA21153,2430,"San Juan, UT"
AA-10378,6890,60,NA7613,2077,"San Juan, UT"
A-1802,1951,63,42SA22180,2460,"San Juan, UT"
A-1906,1907,65,42SA22180,2460,"San Juan, UT"
BETA-32291,2610,65,42SA9999,2417,"San Juan, UT"
BETA-102495,1590,70,NA,2069,"San Juan, UT"
BETA-48227,1480,70,42SA21153,2431,"San Juan, UT"
BETA-47743,6730,70,42SA21153,2431,"San Juan, UT"
BETA-7705,1700,70,42SA22559,2464,"San Juan, UT"
BETA-19915,1840,70,42SA1563,2811,"San Juan, UT"
Beta-31790,5890,70,42SA17107,2300,"San Juan, UT"
Beta-24478,2990,70,42SA17597,2303,"San Juan, UT"
Beta-30485,2220,70,42SA20292,2308,"San Juan, UT"
Beta-31962,2070,70,42SA21091,2312,"San Juan, UT"
Beta-20466,1730,70,42SA5800,2316,"San Juan, UT"
Beta-48141,6120,70,42SA21153,2430,"San Juan, UT"
Beta-112580,870,70,42SA22674,2233,"San Juan, UT"
BETA-52614,1400,70,42SA21153,2431,"San Juan, UT"
BETA-47894,1370,70,42JB394,2076,"San Juan, UT"
BETA-95273,1750,70,NA,2296,"San Juan, UT"
BETA-95274,2090,70,NA,2296,"San Juan, UT"
BETA-32290,2110,70,42SA9999,2417,"San Juan, UT"
BETA-47069,866,70,42SA21153,2431,"San Juan, UT"
AA-9179,2710,70,42SA20615,2884,"San Juan, UT"
Beta-52165,1870,70,42SA21153,2430,"San Juan, UT"
BETA-102494,1670,80,NA,2072,"San Juan, UT"
BETA-47007,7790,80,42SA21153,2431,"San Juan, UT"
BETA-70053,1030,80,42SA21263,2952,"San Juan, UT"
A-495,1510,80,42SA-?,2078,"San Juan, UT"
Tx-452,1820,80,42SA-?,2078,"San Juan, UT"
GX-2142,1708,80,GG-69-18,2297,"San Juan, UT"
Beta-19284,1720,80,42SA17216,2302,"San Juan, UT"
Beta-30488,1360,80,42SA20615,2311,"San Juan, UT"
Beta-37954,5290,80,42SA20615,2311,"San Juan, UT"
Beta-31964,1670,80,42SA21117,2314,"San Juan, UT"
Beta-57401,2040,80,42SA8477,2317,"San Juan, UT"
Beta-112583,1190,80,42SA22674,2233,"San Juan, UT"
WSU-3513,2050,80,42SA21153,2430,"San Juan, UT"
BETA-95275,1810,80,NA,2296,"San Juan, UT"
BETA-95276,2520,80,NA,2296,"San Juan, UT"
TX-852,1820,80,NA7613,2077,"San Juan, UT"
Y-1350,1700,80,42SA363,2381,"San Juan, UT"
BETA-47741,1790,90,42SA21153,2431,"San Juan, UT"
BETA-70051,870,90,42SA21291,2910,"San Juan, UT"
BETA-69324,2360,90,42SA21267,2953,"San Juan, UT"
Beta-30482,2220,90,42SA20256,2306,"San Juan, UT"
Beta-30487,2330,90,42SA20301,2309,"San Juan, UT"
BETA-47742,7560,90,42SA21153,2431,"San Juan, UT"
Beta-74067,7680,90,42SA21153,2430,"San Juan, UT"
BETA-95272,1610,90,NA,2296,"San Juan, UT"
BETA-75141,650,90,42SA21153,2431,"San Juan, UT"
GX-2075,1610,95,GG-70-187,2298,"San Juan, UT"
BETA-77109,3370,100,42SA22559,2464,"San Juan, UT"
BETA-70050,1020,100,42SA21285,2954,"San Juan, UT"
Tx-1263,7340,100,42SA-?,2078,"San Juan, UT"
GX-2076,1510,100,GG-70-187,2298,"San Juan, UT"
Beta-18736,6580,100,42SA17790,2304,"San Juan, UT"
Beta-30483,1500,100,42SA20258,2307,"San Juan, UT"
Beta-30486,2640,100,42SA20301,2309,"San Juan, UT"
Beta-20469,2160,100,42SA415,2315,"San Juan, UT"
BETA-97658,7580,100,NA,2375,"San Juan, UT"
Beta-40116,7440,100,42SA21153,2430,"San Juan, UT"
BETA-40331,810,100,42SA21153,2431,"San Juan, UT"
Tx-1261,6740,110,42SA-?,2078,"San Juan, UT"
Tx-1264,7250,110,42SA-?,2078,"San Juan, UT"
Beta-21209,3340,110,42SA17092,2299,"San Juan, UT"
Beta-31963,6290,110,42SA21095,2313,"San Juan, UT"
RL-240,2050,120,42SA-?,2078,"San Juan, UT"
A-848,7740,120,42SA19114,2054,"San Juan, UT"
Tx-1262,7630,120,42SA-?,2078,"San Juan, UT"
Tx-447,7700,120,42SA-?,2078,"San Juan, UT"
Tx-448,7540,120,42SA-?,2078,"San Juan, UT"
A-849,7700,120,42SA19114,2054,"San Juan, UT"
Beta-33355,4510,130,42SA-?,2078,"San Juan, UT"
Tx-1260,6840,130,42SA-?,2078,"San Juan, UT"
Tx-454,7150,130,42SA-?,2078,"San Juan, UT"
A-850,7150,130,42SA19114,2054,"San Juan, UT"
Beta-34978,3710,230,42SA20309,2310,"San Juan, UT"
BETA-57405,3240,270,42SA8477,2845,"San Juan, UT"
Beta-97619,7090,50,5HN55,2628,"Hinsdale, CO"
Beta-97623,7120,50,5HN55,2628,"Hinsdale, CO"
Beta-97616,7940,60,5HN55,2628,"Hinsdale, CO"
Beta-97617,7980,60,5HN55,2628,"Hinsdale, CO"
Beta-97618,7060,60,5HN55,2628,"Hinsdale, CO"
Beta-97621,7220,60,5HN55,2628,"Hinsdale, CO"
Beta-97622,7130,60,5HN55,2628,"Hinsdale, CO"
AA-14461,7888,72,5HN55,2628,"Hinsdale, CO"
Beta-179495,340,30,LA137258,938,"Catron, NM"
Beta-178616,3620,40,LA137258,938,"Catron, NM"
Beta-178618,3760,40,LA137258,938,"Catron, NM"
Beta-179496,3640,40,LA137258,938,"Catron, NM"
Beta-179497,3540,40,LA137258,938,"Catron, NM"
Beta-179498,3780,40,LA137258,938,"Catron, NM"
Beta-179557,3660,40,LA137258,938,"Catron, NM"
Beta-179558,3680,40,LA137258,938,"Catron, NM"
Beta-185026,3730,40,LA137258,938,"Catron, NM"
Beta-178602,960,40,LA87059,954,"Catron, NM"
Beta-178603,1280,40,LA87059,954,"Catron, NM"
Beta-178608,1790,40,LA87066,955,"Catron, NM"
Beta-178610,4830,40,LA87068,956,"Catron, NM"
Beta-179494,4710,40,LA87068,956,"Catron, NM"
Beta-71284?,1640,50,LA11568,937,"Catron, NM"
Beta-185022,3760,50,LA137258,938,"Catron, NM"
Beta-185023,3810,50,LA137258,938,"Catron, NM"
Beta-185024,3710,50,LA137258,938,"Catron, NM"
Beta-185025,3700,50,LA137258,938,"Catron, NM"
Beta-185027,3660,50,LA137258,938,"Catron, NM"
Beta-93494,1050,50,LA3279,939,"Catron, NM"
Beta-93499,1210,50,LA3279,939,"Catron, NM"
Beta-93500,1180,50,LA3279,939,"Catron, NM"
Beta-93522,770,50,LA3279,939,"Catron, NM"
Beta-93524,730,50,LA3279,939,"Catron, NM"
Beta-93527,780,50,LA3279,939,"Catron, NM"
Beta-93529,1180,50,LA3279,939,"Catron, NM"
Beta-77876,980,50,LA39968,940,"Catron, NM"
Beta-76348,920,50,LA39969,941,"Catron, NM"
Beta-77878,1110,50,LA39969,941,"Catron, NM"
Beta-77881,1230,50,LA39969,941,"Catron, NM"
Beta-76772,1710,50,LA39975,943,"Catron, NM"
Beta-76724,1160,50,LA45507,946,"Catron, NM"
Beta-78275,1300,50,LA45507,946,"Catron, NM"
Beta-76773,2390,50,LA70188,950,"Catron, NM"
Beta-76744,1470,50,LA78439,951,"Catron, NM"
Beta-76774,1470,50,LA78439,951,"Catron, NM"
Beta-178597,890,50,LA86249,953,"Catron, NM"
Beta-93530,390,50,LA89846,957,"Catron, NM"
Beta-93531,2490,50,LA89846,957,"Catron, NM"
Beta-71281?,990,60,LA11568,937,"Catron, NM"
Beta-71282?,1420,60,LA11568,937,"Catron, NM"
Beta-71283?,1500,60,LA11568,937,"Catron, NM"
Beta-73759?,1700,60,LA11568,937,"Catron, NM"
Beta-93493,1170,60,LA3279,939,"Catron, NM"
Beta-93503,900,60,LA3279,939,"Catron, NM"
Beta-93510,1070,60,LA3279,939,"Catron, NM"
Beta-93511,860,60,LA3279,939,"Catron, NM"
Beta-93520,790,60,LA3279,939,"Catron, NM"
Beta-93521,1050,60,LA3279,939,"Catron, NM"
Beta-93523,670,60,LA3279,939,"Catron, NM"
Beta-93525,1080,60,LA3279,939,"Catron, NM"
Beta-93526,840,60,LA3279,939,"Catron, NM"
Beta-76335,780,60,LA39968,940,"Catron, NM"
Beta-76339,900,60,LA39968,940,"Catron, NM"
Beta-76345,960,60,LA39968,940,"Catron, NM"
Beta-77875,990,60,LA39968,940,"Catron, NM"
Beta-76356,990,60,LA39969,941,"Catron, NM"
Beta-76357,1100,60,LA39969,941,"Catron, NM"
Beta-76358,1130,60,LA39969,941,"Catron, NM"
Beta-77879,860,60,LA39969,941,"Catron, NM"
Beta-77880,1010,60,LA39969,941,"Catron, NM"
Beta-77833,360,60,LA39998,944,"Catron, NM"
Beta-78276,1270,60,LA70185,949,"Catron, NM"
Beta-76775,3620,60,LA78439,951,"Catron, NM"
Beta-78272,850,60,LA78439,951,"Catron, NM"
Beta-78273,3590,60,LA78439,951,"Catron, NM"
Beta-178592,1670,60,LA86241,952,"Catron, NM"
Beta-178596,830,60,LA86249,953,"Catron, NM"
Beta-178604,1140,60,LA87059,954,"Catron, NM"
Beta-77836,1420,70,LA104381,936,"Catron, NM"
Beta-77837,1330,70,LA104381,936,"Catron, NM"
Beta-77838,1490,70,LA104381,936,"Catron, NM"
Beta-77840,1450,70,LA104381,936,"Catron, NM"
Beta-73760?,1730,70,LA11568,937,"Catron, NM"
Beta-178615,3640,70,LA137258,938,"Catron, NM"
Beta-93502,1040,70,LA3279,939,"Catron, NM"
Beta-93506,970,70,LA3279,939,"Catron, NM"
Beta-93513,1030,70,LA3279,939,"Catron, NM"
Beta-93514,1180,70,LA3279,939,"Catron, NM"
Beta-76333,990,70,LA39968,940,"Catron, NM"
Beta-76344,1330,70,LA39968,940,"Catron, NM"
Beta-76350,1050,70,LA39969,941,"Catron, NM"
Beta-76352,700,70,LA39969,941,"Catron, NM"
Beta-76360,1700,70,LA39972,942,"Catron, NM"
Beta-77831,2220,70,LA39998,944,"Catron, NM"
Beta-77834,630,70,LA39998,944,"Catron, NM"
Beta-71718,1140,70,LA45507,946,"Catron, NM"
Beta-71719,1250,70,LA45507,946,"Catron, NM"
Beta-71720,1060,70,LA70185,949,"Catron, NM"
Beta-71721,1090,70,LA70185,949,"Catron, NM"
Beta-178593,1930,70,LA86241,952,"Catron, NM"
Beta-178594,1700,70,LA86241,952,"Catron, NM"
Beta-178601,1370,70,LA87059,954,"Catron, NM"
Beta-178607,1920,70,LA87066,955,"Catron, NM"
Beta-178609,1820,70,LA87066,955,"Catron, NM"
A-4187,3740,70,LA4935,948,"Catron, NM"
A-4188,3120,70,LA4935,948,"Catron, NM"
Beta-77839,1870,80,LA104381,936,"Catron, NM"
Beta-73761?,1570,80,LA11568,937,"Catron, NM"
Beta-178617,3620,80,LA137258,938,"Catron, NM"
Beta-93491,890,80,LA3279,939,"Catron, NM"
Beta-93497,1010,80,LA3279,939,"Catron, NM"
Beta-93515,1020,80,LA3279,939,"Catron, NM"
Beta-93516,1020,80,LA3279,939,"Catron, NM"
Beta-93518,1260,80,LA3279,939,"Catron, NM"
Beta-93528,790,80,LA3279,939,"Catron, NM"
Beta-76332,760,80,LA39968,940,"Catron, NM"
Beta-76334,1140,80,LA39968,940,"Catron, NM"
Beta-76338,960,80,LA39968,940,"Catron, NM"
Beta-76347,1250,80,LA39969,941,"Catron, NM"
Beta-76365,2930,80,LA43766,945,"Catron, NM"
Beta-76367,2700,80,LA43766,945,"Catron, NM"
Beta-178595,2090,80,LA86241,952,"Catron, NM"
Beta-73758?,1560,90,LA11568,937,"Catron, NM"
Beta-93492,580,90,LA3279,939,"Catron, NM"
Beta-93496,1080,90,LA3279,939,"Catron, NM"
Beta-93498,1230,90,LA3279,939,"Catron, NM"
Beta-93501,750,90,LA3279,939,"Catron, NM"
Beta-93507,750,90,LA3279,939,"Catron, NM"
Beta-76337,1060,90,LA39968,940,"Catron, NM"
Beta-76349,1100,90,LA39969,941,"Catron, NM"
Beta-76351,1670,90,LA39969,941,"Catron, NM"
Beta-76353,1150,90,LA39969,941,"Catron, NM"
Beta-76725,1250,90,LA45507,946,"Catron, NM"
A-4182,2630,90,LA4935,948,"Catron, NM"
Beta-178605,2040,90,LA87066,955,"Catron, NM"
Beta-178606,2170,90,LA87066,955,"Catron, NM"
Beta-93532,2490,90,LA89846,957,"Catron, NM"
A-4183,2780,90,LA4935,948,"Catron, NM"
Beta-93495,1240,100,LA3279,939,"Catron, NM"
Beta-76336,840,100,LA39968,940,"Catron, NM"
Beta-76341,1180,100,LA39968,940,"Catron, NM"
Beta-76342,1270,100,LA39968,940,"Catron, NM"
Beta-76355,930,100,LA39969,941,"Catron, NM"
Beta-76359,2030,100,LA39972,942,"Catron, NM"
Beta-76364,3200,100,LA43766,945,"Catron, NM"
Beta-76726,490,100,LA45508,947,"Catron, NM"
Beta-77835,1840,110,LA104381,936,"Catron, NM"
Beta-76346,1100,110,LA39969,941,"Catron, NM"
Beta-77877,790,110,LA39969,941,"Catron, NM"
Beta-76362,3370,110,LA43766,945,"Catron, NM"
A-4184,2140,110,LA4935,948,"Catron, NM"
Beta-76354,1120,120,LA39969,941,"Catron, NM"
Beta-76771,1270,120,LA39975,943,"Catron, NM"
Beta-76366,2910,120,LA43766,945,"Catron, NM"
Beta-78274,1250,120,LA45507,946,"Catron, NM"
A-4186,2980,120,LA4935,948,"Catron, NM"
Beta-76361,2790,130,LA43766,945,"Catron, NM"
Beta-76343,720,140,LA39968,940,"Catron, NM"
A-4167,3010,150,LA4935,948,"Catron, NM"
AA-679,2420,170,LA4935,948,"Catron, NM"
Beta-76368,3660,200,LA43766,945,"Catron, NM"
Beta-76363,2930,260,LA43766,945,"Catron, NM"
Beta-92322,3750,50,LA109455,1232,"Torrance, NM"
Beta-92330,6870,60,LA109455,1232,"Torrance, NM"
Beta-96749,360,60,LA109455,1232,"Torrance, NM"
Beta-126392,5460,60,LA4974,1234,"Torrance, NM"
Beta-126391,5780,70,LA4974,1234,"Torrance, NM"
Beta-96714,1140,110,LA25676,1233,"Torrance, NM"
Beta-21279,810,60,LA53662,1241,"Valencia, NM"
Beta-21278,790,70,LA53662,1241,"Valencia, NM"
Beta-21280,680,80,LA53662,1241,"Valencia, NM"
Beta-21282,800,80,LA53662,1241,"Valencia, NM"
Beta-21283,800,80,LA53662,1241,"Valencia, NM"
Beta-21285,1070,80,LA53662,1241,"Valencia, NM"
Beta-21281,1060,90,LA53662,1241,"Valencia, NM"
Beta-21284,1000,110,LA53662,1241,"Valencia, NM"
Beta-329864,1110,30,P:8:65,1157,"Navajo, AZ"
AA-57726,853,39,D:,1755,"Navajo, AZ"
Beta-280037,1240,40,P:8:65,1157,"Navajo, AZ"
Beta-280038,1290,40,P:8:65,1157,"Navajo, AZ"
Beta-280039,1300,40,P:8:65,1157,"Navajo, AZ"
Beta-154446,1090,40,P:9:26/04-1394,1158,"Navajo, AZ"
Beta-102489,2180,40,"J:14:21,NNAD",1428,"Navajo, AZ"
Beta-94765,2080,40,"J:14:21,NNAD",1428,"Navajo, AZ"
Beta-175654,6940,40,"J:14:31,NNAD",1432,"Navajo, AZ"
Beta-101393,1890,40,J:14:34NNAD,1433,"Navajo, AZ"
Beta-117137,3120,40,J:14:34NNAD,1433,"Navajo, AZ"
Beta-158087,2040,40,"J:2:55,NNAD",1439,"Navajo, AZ"
Beta-158088,4450,40,"J:2:55,NNAD",1439,"Navajo, AZ"
Beta-118049,3110,40,J:14:13,1426,"Navajo, AZ"
Beta-158089,1960,40,"J:14:21,NNAD",1428,"Navajo, AZ"
"Beta-156068,CAMS",2120,40,J:14:23,1429,"Navajo, AZ"
"Beta-156068,VERA",2100,40,J:14:23,1429,"Navajo, AZ"
Beta-158090,2150,40,J:14:36,1435,"Navajo, AZ"
Beta-158091,2150,40,J:14:36,1435,"Navajo, AZ"
Beta-158092,1730,40,"J:14:38,NNAD",1437,"Navajo, AZ"
Beta-158093,1700,40,"J:14:38,NNAD",1437,"Navajo, AZ"
Beta-158094,1830,40,"J:14:38,NNAD",1437,"Navajo, AZ"
"Beta-156067,CAMS",2090,40,"J:3:8,NNAD",1442,"Navajo, AZ"
"Beta-156067,VERA",2110,40,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-135680,3120,40,J:14:13,1426,"Navajo, AZ"
Beta-135681,2170,40,J:14:13,1426,"Navajo, AZ"
Beta-153225,850,40,P:9:26/04-1394,1158,"Navajo, AZ"
Beta-154190,930,40,P:9:39/04-379,1160,"Navajo, AZ"
Beta-135679,3270,40,J:14:13,1426,"Navajo, AZ"
AA-57727,870,42,D:,1755,"Navajo, AZ"
AA-98103,2233,42,D:,1755,"Navajo, AZ"
AA-57730,2052,43,D:,1755,"Navajo, AZ"
AA-63299,4055,43,D:,1755,"Navajo, AZ"
AA-57720,2048,44,D:,1755,"Navajo, AZ"
AA-57721,2185,44,D:,1755,"Navajo, AZ"
AA-57722,2112,44,D:,1755,"Navajo, AZ"
AA-57723,2078,44,D:,1755,"Navajo, AZ"
AA-57724,2161,44,D:,1755,"Navajo, AZ"
AA-57734,2288,44,D:,1755,"Navajo, AZ"
AA-57736,2240,44,D:,1755,"Navajo, AZ"
AA-57737,2287,44,D:,1755,"Navajo, AZ"
AA-57719,2177,45,D:,1755,"Navajo, AZ"
AA-57725,2119,45,D:,1755,"Navajo, AZ"
